hour,dev_mean,dev_std,cv_mean,cv_std,cost_mean,cost_std,nodes,rate
11,0.0011655737704918678,0.0001688366218898061,3.873349867128037e-06,1.2669479003165454e-07,1.743424795043586e-05,1.1684644841375129e-06,756,0.1
12,0.001422295081967151,0.00013876252724717895,4.4750272644707675e-06,1.5891039873189576e-07,2.3028913274180175e-05,1.7274696577408802e-06,756,0.1
13,0.001512950819672143,0.00015065573770492062,4.523909704413358e-06,1.5903444129119244e-07,2.337553522117867e-05,1.7487641509894013e-06,756,0.1
14,0.0015236065573771217,0.00019316463771659094,4.532467930379948e-06,1.4374522007281566e-07,2.365331005607064e-05,1.617154602151369e-06,756,0.1
15,0.001646229508196606,0.0001051334877919717,4.408009485582886e-06,9.419741632066116e-08,2.2343864170787195e-05,1.0133951248617775e-06,756,0.1
16,0.001654754098360678,0.00019747233689220396,4.51612880885148e-06,1.581794396953031e-07,2.3398996524676033e-05,1.742121114002434e-06,756,0.1
17,0.0019822950819673667,0.00021121753243786412,4.484781153842406e-06,9.466713823199419e-08,2.3241120950432378e-05,1.0393280970070745e-06,756,0.1
18,0.0015254098360654722,0.0001450463974179408,4.100044549751094e-06,1.0606486143083906e-07,2.0016106246350404e-05,1.0659011896236322e-06,756,0.1
19,0.000771967213114777,0.00014603567245597643,3.369107404358231e-06,1.263036064584657e-07,1.3754321642201362e-05,1.0487360756524205e-06,756,0.1
20,0.0006203278688524328,9.805430434392777e-05,3.2037625678072673e-06,1.2024735815077724e-07,1.2509708469711474e-05,9.507851651966519e-07,756,0.1
