nodes,rate,it,cost
18,0.1,11,0.0004802134716332233
18,0.1,12,0.00028202182629430325
18,0.1,13,0.00023135987070396638
18,0.1,14,9.166143630812315e-05
18,0.1,15,0.00012303501484712024
18,0.1,16,0.00015618214531265323
18,0.1,17,0.0002427043771723994
18,0.1,18,0.000508338471145849
18,0.1,19,0.0007194266486867128
18,0.1,20,0.0007049129357014008
60,0.1,11,0.0008213527659717202
60,0.1,12,0.0008245007048675544
60,0.1,13,0.0008172047177620043
60,0.1,14,0.000768414173306465
60,0.1,15,0.0007324241928740961
60,0.1,16,0.000731288345751648
60,0.1,17,0.0006330916890244962
60,0.1,18,0.0005952543142312753
60,0.1,19,0.0006592273363245088
60,0.1,20,0.0006064774030626598
210,0.1,11,3.648559399878961e-05
210,0.1,12,6.133507961704784e-05
210,0.1,13,5.115408743315578e-05
210,0.1,14,7.465968947358782e-05
210,0.1,15,6.554437778982305e-05
210,0.1,16,9.230851197786817e-05
210,0.1,17,7.875785160330764e-05
210,0.1,18,5.785927274543766e-05
210,0.1,19,4.79017499131509e-05
210,0.1,20,5.635634816058336e-05
756,0.1,11,9.855033493362921e-05
756,0.1,12,9.528060535562729e-05
756,0.1,13,5.158380831394135e-05
756,0.1,14,9.584062701353945e-05
756,0.1,15,0.00010276839332307162
756,0.1,16,7.7156792423345e-05
756,0.1,17,9.817300149254958e-05
756,0.1,18,4.4883352215382365e-05
756,0.1,19,3.130853314593468e-05
756,0.1,20,2.637855287227966e-05
756,0.2,11,0.00020557050235881438
756,0.2,12,0.0002225159870195827
756,0.2,13,0.0002162118150719202
756,0.2,14,0.0002751332665227032
756,0.2,15,0.00027099926376000923
756,0.2,16,0.00024301149626102387
756,0.2,17,0.00023223453168290194
756,0.2,18,0.0001663599607489227
756,0.2,19,0.00012938967968392716
756,0.2,20,0.00012182943127324127
756,0.3,11,0.0006659476130676097
756,0.3,12,0.0007486549564544148
756,0.3,13,0.0005009427096925306
756,0.3,14,0.0007077188620351538
756,0.3,15,0.0007334795215089272
756,0.3,16,0.0007337219255392363
756,0.3,17,0.0005725070439329079
756,0.3,18,0.00044616926543916897
756,0.3,19,0.00032483591874550555
756,0.3,20,0.00034644380042532264
756,0.4,11,0.0015503391869671017
756,0.4,12,0.0016730937474615341
756,0.4,13,0.001154717674364636
756,0.4,14,0.0015691702640713832
756,0.4,15,0.0017536430563940342
756,0.4,16,0.0015368577769449402
756,0.4,17,0.0014227797208826564
756,0.4,18,0.0009031221592946207
756,0.4,19,0.0006835089188203189
756,0.4,20,0.0006264492157002117
756,0.5,11,0.003939399934404191
756,0.5,12,0.003906376243088926
756,0.5,13,0.0024800656114881783
756,0.5,14,0.0034049269414678845
756,0.5,15,0.0037304976172303837
756,0.5,16,0.003395134305814981
756,0.5,17,0.003369576055408818
756,0.5,18,0.0022606531006186302
756,0.5,19,0.0012796969025878214
756,0.5,20,0.0012594025891275423
