nodes,it,cost
18,11,0.00048021347163326614
60,11,0.0008213527659717997
210,11,3.648559399885973e-05
756,11,9.855033493366015e-05
18,12,0.0002820218262942269
60,12,0.0008245007048674787
210,12,6.133507961708092e-05
756,12,9.528060535577513e-05
18,13,0.00023135987070396638
60,13,0.0008172047177621069
210,13,5.115408743315578e-05
756,13,5.158380831403383e-05
18,14,9.166143630812315e-05
60,14,0.0007684141733067325
210,14,7.465968947371456e-05
756,14,9.584062701353945e-05
18,15,0.00012303501484712024
60,15,0.0007324241928740961
210,15,6.554437778976041e-05
756,15,0.00010276839332335466
18,16,0.00015618214531261572
60,16,0.0007312883457516715
210,16,9.230851197786817e-05
756,16,7.715679242323078e-05
18,17,0.0002427043771723994
60,17,0.0006330916890245428
210,17,7.875785160324453e-05
756,17,9.817300149226798e-05
18,18,0.0005083384711459684
60,18,0.0005952543142313243
210,18,5.7859272745536906e-05
756,18,4.488335221511986e-05
18,19,0.000719426648686668
60,19,0.000659227336324458
210,19,4.790174991308492e-05
756,19,3.1308533145905244e-05
18,20,0.0007049129357012923
60,20,0.0006064774030627656
210,20,5.635634816041059e-05
756,20,2.6378552872342147e-05
