nodes,rate,bias_mode,it,cost_wo_pp,cost,loss
18,0.1,bias_x,11,5.711524331321594e-05,4.4524803010376193e-05,0.2368912398856973
18,0.1,bias_x,12,0.0001530902333704128,9.974357361971577e-05,0.234805155296537
18,0.1,bias_x,13,6.012825550512529e-05,4.149336466089443e-05,0.233290361878489
18,0.1,bias_x,14,6.568449755636417e-05,3.720344131825488e-05,0.23308854248145217
18,0.1,bias_x,15,3.1549114259539634e-05,7.514716156950005e-06,0.2329165118751028
18,0.1,bias_x,16,1.3075515944607814e-05,1.3075515944532802e-05,0.2323390328884069
18,0.1,bias_x,17,1.5072285291976597e-05,1.5072285291865894e-05,0.2323885838807124
18,0.1,bias_x,18,1.0598194606136536e-05,1.0016109229022429e-05,0.2317714788925072
18,0.1,bias_x,19,1.5183810969784934e-05,1.5183810969874465e-05,0.23138760011744186
18,0.1,bias_x,20,3.7985971777880485e-05,1.5239205010093451e-05,0.23120968612241366
60,0.1,bias_x,11,4.398032021226567e-05,3.596552435512657e-05,0.2101862695249158
60,0.1,bias_x,12,4.858373787180763e-05,3.282188504581637e-05,0.2097769827438536
60,0.1,bias_x,13,4.1966194193310146e-05,4.196619419333579e-05,0.2095490155621873
60,0.1,bias_x,14,3.92364235446275e-05,3.92364235447977e-05,0.20958191428176812
60,0.1,bias_x,15,4.2130816359270736e-05,4.01157314298275e-05,0.20953873620773392
60,0.1,bias_x,16,4.9862651476987474e-05,4.0312256500546466e-05,0.20937694934792256
60,0.1,bias_x,17,4.545085194079917e-05,3.6994033409864575e-05,0.20916550124070296
60,0.1,bias_x,18,2.428279304252073e-05,2.428279304252073e-05,0.20868954365644138
60,0.1,bias_x,19,2.5655280157411705e-05,1.5525911136289766e-05,0.20823369301608377
60,0.1,bias_x,20,4.6683699205470575e-05,1.7921640414380936e-05,0.2080130920936579
210,0.1,bias_x,11,3.1571871019114094e-05,2.663385655290424e-05,0.2017895168336052
210,0.1,bias_x,12,3.591100689855955e-05,3.546466986682604e-05,0.2017056609129352
210,0.1,bias_x,13,3.2946646117984974e-05,3.258640646142964e-05,0.2016852607099677
210,0.1,bias_x,14,4.0872114014104037e-05,3.617898658532824e-05,0.20168721463166966
210,0.1,bias_x,15,4.2317547960596326e-05,3.637239064569221e-05,0.2016683700198108
210,0.1,bias_x,16,4.2057000211423504e-05,4.171782392568576e-05,0.20163365941854405
210,0.1,bias_x,17,4.5279959524863886e-05,3.715451024349095e-05,0.2015632222659524
210,0.1,bias_x,18,3.873992238187533e-05,2.6716300175371274e-05,0.20138781647337206
210,0.1,bias_x,19,2.270659250933466e-05,2.1570062852469084e-05,0.2013037130258056
210,0.1,bias_x,20,2.3246112158069457e-05,1.840059209123166e-05,0.2013278049109056
756,0.1,bias_x,11,1.2217751720140411e-05,9.11539107175899e-06,0.19899115908968323
756,0.1,bias_x,12,1.3799654234356803e-05,1.0552941978515741e-05,0.19898910664825092
756,0.1,bias_x,13,1.802675397766599e-05,1.3539715666168102e-05,0.19889492871735961
756,0.1,bias_x,14,2.1688525274980884e-05,1.4195627241632403e-05,0.19898489582057355
756,0.1,bias_x,15,1.9236046797984497e-05,1.3711067045226274e-05,0.19898500391012236
756,0.1,bias_x,16,2.0442195365563023e-05,1.3784649934886667e-05,0.19893760704749644
756,0.1,bias_x,17,2.047294446038795e-05,1.5688413605608174e-05,0.19888913904488137
756,0.1,bias_x,18,1.2268596332900396e-05,9.936204436627279e-06,0.19875629411950171
756,0.1,bias_x,19,7.575045841119967e-06,6.588573567895607e-06,0.19864724386914498
756,0.1,bias_x,20,9.160049051415673e-06,7.886108392977691e-06,0.19861830641618738
18,0.1,bias_y,11,5.0319178726150074e-05,4.4524803010290494e-05,0.23691416599748935
18,0.1,bias_y,12,0.0001049059523745536,9.856679186642334e-05,0.2348374549225404
18,0.1,bias_y,13,6.012825550512529e-05,4.149336466089443e-05,0.23332432546260665
18,0.1,bias_y,14,6.568449755636417e-05,3.720344131825488e-05,0.23311094703506802
18,0.1,bias_y,15,3.1549114259539634e-05,7.514716156950005e-06,0.2329331055861395
18,0.1,bias_y,16,1.3075515944607814e-05,1.3075515944532802e-05,0.23235357824435168
18,0.1,bias_y,17,1.5072285291976597e-05,1.5072285291865894e-05,0.23240257394239852
18,0.1,bias_y,18,1.0598194606136536e-05,1.0016109228982616e-05,0.23178248468566473
18,0.1,bias_y,19,1.834937081865418e-05,1.1240644343409902e-05,0.23140419647773638
18,0.1,bias_y,20,0.0001986821858239898,1.5239205010093451e-05,0.23124679744551419
60,0.1,bias_y,11,3.118857327122047e-05,3.118857327119399e-05,0.2099730584619318
60,0.1,bias_y,12,3.153943101647994e-05,3.153943101650517e-05,0.20958467422811325
60,0.1,bias_y,13,4.23289575310389e-05,4.2328957530961956e-05,0.20935229102286512
60,0.1,bias_y,14,3.785004964783417e-05,3.785004964778554e-05,0.2093867174262399
60,0.1,bias_y,15,3.673281015997722e-05,3.602986661173098e-05,0.20934565650502143
60,0.1,bias_y,16,3.7059818872930664e-05,3.705981887283635e-05,0.20918708411191028
60,0.1,bias_y,17,4.1269917181251826e-05,3.90334561273291e-05,0.20898087399042165
60,0.1,bias_y,18,3.4873658585810544e-05,3.4873658585663275e-05,0.20851083421389227
60,0.1,bias_y,19,2.7030605763699378e-05,2.7030605763699378e-05,0.20805504427629767
60,0.1,bias_y,20,1.9874126996448212e-05,1.9874126996501128e-05,0.20783016007884042
210,0.1,bias_y,11,3.29035053458851e-05,2.773887018936605e-05,0.2017063669815981
210,0.1,bias_y,12,3.083150690516683e-05,2.6776839971740433e-05,0.2016256363536381
210,0.1,bias_y,13,3.1157780935653234e-05,2.523168004173309e-05,0.2016055242464118
210,0.1,bias_y,14,3.5545375339320116e-05,3.12045557596424e-05,0.20160941952665387
210,0.1,bias_y,15,3.572578070828573e-05,2.9686984955493793e-05,0.2015906635389283
210,0.1,bias_y,16,3.786580322939413e-05,3.065178178606308e-05,0.20155669403070656
210,0.1,bias_y,17,3.958664440711526e-05,2.9723626667317773e-05,0.20148759903131
210,0.1,bias_y,18,2.8977351502387547e-05,2.2757467641718314e-05,0.20131311392136794
210,0.1,bias_y,19,2.0626989687238295e-05,1.8731417392804128e-05,0.20122904594987334
210,0.1,bias_y,20,3.4575772918150564e-05,2.942547734799561e-05,0.20125301804739196
756,0.1,bias_y,11,1.2217751720140411e-05,9.11539107175899e-06,0.19899115951167315
756,0.1,bias_y,12,1.3799654234356803e-05,1.0552941978515741e-05,0.19898910642977682
756,0.1,bias_y,13,1.802675397766599e-05,1.3539715666168102e-05,0.19889492883820686
756,0.1,bias_y,14,2.1688525274980884e-05,1.4195627241632403e-05,0.19898489574496844
756,0.1,bias_y,15,1.9236046797984497e-05,1.3711067045226274e-05,0.19898500392674376
756,0.1,bias_y,16,2.0258394404138626e-05,1.3613754996363439e-05,0.198937603284712
756,0.1,bias_y,17,2.0977104835162997e-05,1.5022858188837557e-05,0.19888914550222556
756,0.1,bias_y,18,1.2268596332900396e-05,9.936204436627279e-06,0.1987562943182619
756,0.1,bias_y,19,7.575045841119967e-06,6.588573567895607e-06,0.1986472426702544
756,0.1,bias_y,20,9.160049051415673e-06,7.886108392977691e-06,0.1986183067026503
18,0.1,nobias,11,3.139029486081846e-05,3.139029486090416e-05,0.23682722764599234
18,0.1,nobias,12,0.00025736549444031385,6.0619381513570536e-05,0.23484071095648396
18,0.1,nobias,13,6.012825550512529e-05,4.149336466089443e-05,0.23332997541315342
18,0.1,nobias,14,6.568449755636417e-05,3.720344131825488e-05,0.2331134481163502
18,0.1,nobias,15,3.1549114259539634e-05,7.514716156950005e-06,0.23293374438246478
18,0.1,nobias,16,1.3075515944607814e-05,1.3075515944532802e-05,0.23235466461764973
18,0.1,nobias,17,1.5072285291976597e-05,1.5072285291865894e-05,0.2324040702082364
18,0.1,nobias,18,1.0598194606136536e-05,1.0016109229022429e-05,0.23178661866323147
18,0.1,nobias,19,1.834937081865418e-05,1.1240644343409902e-05,0.23141317426951108
18,0.1,nobias,20,0.00010867247526075297,5.995997818496866e-05,0.23120273172580164
60,0.1,nobias,11,4.3157033461214235e-05,3.193579336831108e-05,0.21021467042876757
60,0.1,nobias,12,3.4594542935378975e-05,3.459454293522756e-05,0.20977233286822622
60,0.1,nobias,13,5.324422679401156e-05,4.0543670141430833e-05,0.2095822750533099
60,0.1,nobias,14,4.3029860654539286e-05,4.1958791762829074e-05,0.20961610193795452
60,0.1,nobias,15,2.9362379926362415e-05,2.4983537972863185e-05,0.20954509703857369
60,0.1,nobias,16,4.260058412935961e-05,3.983533527973306e-05,0.20940966963922694
60,0.1,nobias,17,2.4842317405952982e-05,2.4842317405999613e-05,0.20916571767980094
60,0.1,nobias,18,2.570696714875985e-05,2.570696714875985e-05,0.20871863702299573
60,0.1,nobias,19,1.6549529991387793e-05,8.671041527767245e-06,0.20825671886322192
60,0.1,nobias,20,2.7220307465552137e-05,2.172499301723894e-05,0.20801630621750758
210,0.1,nobias,11,1.8487573819689553e-05,1.6319799849423528e-05,0.2017890915711075
210,0.1,nobias,12,2.0687192709593343e-05,1.880938031654833e-05,0.20170517878065275
210,0.1,nobias,13,3.255124617769225e-05,2.0868946353663678e-05,0.20168522465485625
210,0.1,nobias,14,3.563120679714795e-05,2.307866908012106e-05,0.20168703494205453
210,0.1,nobias,15,3.734134500433704e-05,2.8115593084960067e-05,0.20166821273705537
210,0.1,nobias,16,4.1349615679451615e-05,2.5879002255960366e-05,0.20163360933089156
210,0.1,nobias,17,3.342432645731133e-05,3.143199126234693e-05,0.2015628665523441
210,0.1,nobias,18,2.1643244529381254e-05,1.892417902662106e-05,0.20138737008208737
210,0.1,nobias,19,1.6219467958607772e-05,1.431208102511924e-05,0.2013034348874795
210,0.1,nobias,20,2.7304295631168635e-05,2.330068103473084e-05,0.201327867859554
756,0.1,nobias,11,2.178065840327368e-05,1.6547548680870272e-05,0.1989914127594433
756,0.1,nobias,12,2.2490707392693233e-05,1.6988813270573648e-05,0.19898931136187567
756,0.1,nobias,13,1.8618837974494292e-05,1.3204055624468847e-05,0.19889504154366477
756,0.1,nobias,14,2.2844547509499696e-05,1.8856054978823743e-05,0.19898501669689214
756,0.1,nobias,15,2.66749286228545e-05,1.7382725492923506e-05,0.19898519620561583
756,0.1,nobias,16,2.5623820271373908e-05,1.6102186678283552e-05,0.19893777180660235
756,0.1,nobias,17,2.3917036398357278e-05,1.6724271324552897e-05,0.19888927674283635
756,0.1,nobias,18,1.3235169028191247e-05,9.338686179950174e-06,0.1987563999281789
756,0.1,nobias,19,9.821951444973473e-06,6.707004702980642e-06,0.19864735876236891
756,0.1,nobias,20,1.1433091745083072e-05,7.291487576981762e-06,0.19861845470703873
756,0.2,nobias,11,6.721514228533754e-05,4.6737059183154806e-05,0.1430490349236039
756,0.2,nobias,12,7.541408168041275e-05,5.4999757710554625e-05,0.14306863381841006
756,0.2,nobias,13,7.938425351603488e-05,5.8644016568636514e-05,0.142849255718367
756,0.2,nobias,14,9.911782139727372e-05,7.149207802601223e-05,0.14308646162538963
756,0.2,nobias,15,0.00010017582787992673,6.76564670100472e-05,0.14308561420576774
756,0.2,nobias,16,9.457046443641528e-05,6.596805718375639e-05,0.14298402487893866
756,0.2,nobias,17,8.400587143210887e-05,5.98347063829176e-05,0.14288168530500805
756,0.2,nobias,18,6.099882725830009e-05,4.435366143206343e-05,0.14256402375513505
756,0.2,nobias,19,4.176311259060168e-05,3.091182415786832e-05,0.142293442839184
756,0.2,nobias,20,3.6803906861497944e-05,2.7883364322006903e-05,0.14221965003503803
756,0.3,nobias,11,0.00016738591794137364,0.00012237635230714694,0.08553913499916183
756,0.3,nobias,12,0.00018514089603580025,0.00014046081950390513,0.08558377495480068
756,0.3,nobias,13,0.00019862749635099762,0.00015466544929673869,0.08515322702007766
756,0.3,nobias,14,0.00023770693706780745,0.00017416683224434284,0.08561855398957956
756,0.3,nobias,15,0.00025539476559437114,0.0001728891667502866,0.0856180706452947
756,0.3,nobias,16,0.00026862721207763417,0.000156455868675554,0.08543941056145268
756,0.3,nobias,17,0.0001931839148535465,0.00012739354969561745,0.08525035263124262
756,0.3,nobias,18,0.00014902504343215203,0.00011351955582995758,0.0846577535242949
756,0.3,nobias,19,9.331236162560146e-05,6.372715103397276e-05,0.08414010467273277
756,0.3,nobias,20,9.534312692855149e-05,6.087100752426993e-05,0.08399642290808196
756,0.4,nobias,11,0.00023540861141516757,0.00018368730846662063,0.03391225790586381
756,0.4,nobias,12,0.00030624570205810264,0.00022660362583785306,0.03396514019954112
756,0.4,nobias,13,0.00032643289535764483,0.00023924623011612912,0.033185384813376496
756,0.4,nobias,14,0.00034651159627503475,0.0002716350452867649,0.03398493534480703
756,0.4,nobias,15,0.0003612067007523188,0.0002434551142672654,0.03398331981389185
756,0.4,nobias,16,0.0003775147676195632,0.0002685793815658672,0.033686667050970995
756,0.4,nobias,17,0.0003423560417981963,0.000245497994465406,0.03337972162768337
756,0.4,nobias,18,0.00026703108207378655,0.00017771777267816156,0.032407263775224904
756,0.4,nobias,19,0.00016926007998830715,0.00011607373050940737,0.0315475187776196
756,0.4,nobias,20,0.00018416652823306643,0.00011619045949104441,0.03129630445742029
756,0.5,nobias,11,0.00032333423909048796,0.0002437763340893028,0.009099749554026027
756,0.5,nobias,12,0.0004903461734336415,0.0002848557659285208,0.009079246073346672
