nodes,it,cost_wo_pp,cost,loss
18,11,5.711524331321594e-05,4.452480301033334e-05,0.2368912398856973
60,11,4.398032021226567e-05,3.596552435520602e-05,0.2101862695249158
210,11,3.1571871019114094e-05,2.66338565529393e-05,0.2017895168336052
756,11,1.2217751720140411e-05,9.11539107178992e-06,0.19899115908968323
18,12,0.0001530902333704128,9.974357361963943e-05,0.234805155296537
60,12,4.858373787180763e-05,3.282188504596778e-05,0.2097769827438536
210,12,3.591100689855955e-05,3.546466986672679e-05,0.2017056609129352
756,12,1.3799654234356803e-05,1.0552941978456605e-05,0.19898910664825092
18,13,6.012825550512529e-05,4.149336466089443e-05,0.233290361878489
60,13,4.1966194193310146e-05,4.19661941932845e-05,0.2095490155621873
210,13,3.2946646117984974e-05,3.258640646136157e-05,0.2016852607099677
756,13,1.802675397766599e-05,1.3539715666260578e-05,0.19889492871735961
18,14,6.568449755636417e-05,3.720344131825488e-05,0.23308854248145217
60,14,3.92364235446275e-05,3.923642354470044e-05,0.20958191428176812
210,14,4.0872114014104037e-05,3.6178986585264864e-05,0.20168721463166966
756,14,2.1688525274980884e-05,1.4195627241718211e-05,0.19898489582057355
18,15,3.1549114259539634e-05,7.514716156950005e-06,0.2329165118751028
60,15,4.2130816359270736e-05,4.011573142978012e-05,0.20953873620773392
210,15,4.2317547960596326e-05,3.637239064569221e-05,0.2016683700198108
756,15,1.9236046797984497e-05,1.371106704528288e-05,0.19898500391012236
18,16,1.3075515944607814e-05,1.3075515944607814e-05,0.2323390328884069
60,16,4.9862651476987474e-05,4.03122565006172e-05,0.20937694934792256
210,16,4.2057000211423504e-05,4.171782392568576e-05,0.20163365941854405
756,16,2.0442195365563023e-05,1.3784649934829556e-05,0.19893760704749644
18,17,1.5072285291976597e-05,1.5072285291976597e-05,0.2323885838807124
60,17,4.545085194079917e-05,3.699403340979463e-05,0.20916550124070296
210,17,4.5279959524863886e-05,3.715451024349095e-05,0.2015632222659524
756,17,2.047294446038795e-05,1.568841360558001e-05,0.19888913904488137
18,18,1.0598194606136536e-05,1.001610922910205e-05,0.2317714788925072
60,18,2.428279304252073e-05,2.428279304252073e-05,0.20868954365644138
210,18,3.873992238187533e-05,2.6716300175404356e-05,0.20138781647337206
756,18,1.2268596332900396e-05,9.936204436627279e-06,0.19875629411950171
18,19,1.5183810969784934e-05,1.51838109698297e-05,0.23138760011744186
60,19,2.5655280157411705e-05,1.5525911136289766e-05,0.20823369301608377
210,19,2.270659250933466e-05,2.1570062852370117e-05,0.2013037130258056
756,19,7.575045841119967e-06,6.588573567895607e-06,0.19864724386914498
18,20,3.7985971777880485e-05,1.5239205010120592e-05,0.23120968612241366
60,20,4.6683699205470575e-05,1.792164041432802e-05,0.2080130920936579
210,20,2.3246112158069457e-05,1.840059209123166e-05,0.2013278049109056
756,20,9.160049051415673e-06,7.886108392946447e-06,0.19861830641618738
