nodes,it,cost_wo_pp,cost,loss
18,11,5.0319178726150074e-05,4.4524803010376193e-05,0.23691416599748935
60,11,3.118857327122047e-05,3.1188573271246954e-05,0.20997305846193187
210,11,3.29035053458851e-05,2.7738870189471225e-05,0.2017063669815981
756,11,1.2217751720140411e-05,9.11539107182085e-06,0.19899115951167315
2772,11,1.2747250270635621e-05,7.480123410652117e-06,0.19819040433737933
18,12,0.0001049059523745536,9.856679186630883e-05,0.23483745492254035
60,12,3.153943101647994e-05,3.153943101637899e-05,0.2095846742281132
210,12,3.083150690516683e-05,2.677683997177352e-05,0.20162563635363806
756,12,1.3799654234356803e-05,1.0552941978663582e-05,0.19898910642977682
2772,12,1.5126435926996937e-05,7.819925873608133e-06,0.19821042962183374
18,13,6.012825550512529e-05,4.149336466094085e-05,0.23332432546260665
60,13,4.23289575310389e-05,4.232895753106455e-05,0.20935229102286523
210,13,3.1157780935653234e-05,2.523168004173309e-05,0.2016055242464118
756,13,1.802675397766599e-05,1.3539715666322228e-05,0.19889492883820686
2772,13,1.5579648202751255e-05,8.44992300552835e-06,0.19815903719949254
18,14,6.568449755636417e-05,3.720344131825488e-05,0.23311094703506802
60,14,3.785004964783417e-05,3.78500496480773e-05,0.2093867174262401
210,14,3.5545375339320116e-05,3.120455575973747e-05,0.20160941952665398
756,14,2.1688525274980884e-05,1.41956272416038e-05,0.19898489574496847
2772,14,1.546795601062215e-05,8.15175771420254e-06,0.1982407883201389
18,15,3.1549114259539634e-05,7.514716156950005e-06,0.2329331055861395
60,15,3.673281015997722e-05,3.602986661168361e-05,0.20934565650502143
210,15,3.572578070828573e-05,2.9686984955368527e-05,0.2015906635389283
756,15,1.9236046797984497e-05,1.371106704553761e-05,0.1989850039267438
2772,15,1.6669732113745037e-05,8.284250862441132e-06,0.19823559280060168
18,16,1.3075515944607814e-05,1.3075515944645319e-05,0.2323535782443517
60,16,3.7059818872930664e-05,3.705981887285993e-05,0.2091870841119103
210,16,3.786580322939413e-05,3.065178178603131e-05,0.20155669403070658
756,16,2.0258394404138626e-05,1.361375499619211e-05,0.19893760328471205
2772,16,1.7089563463316616e-05,8.700510292704981e-06,0.1982097456167679
18,17,1.5072285291976597e-05,1.5072285291976597e-05,0.23240257394239852
60,17,4.1269917181251826e-05,3.903345612728247e-05,0.20898087399042165
210,17,3.958664440711526e-05,2.9723626667317773e-05,0.20148759903131
756,17,2.0977104835162997e-05,1.5022858188584113e-05,0.19888914550222545
2772,17,1.40938509868219e-05,7.959161448687931e-06,0.19817200758818584
18,18,1.0598194606136536e-05,1.001610922910205e-05,0.2317824846856648
60,18,3.4873658585810544e-05,3.487365858571237e-05,0.20851083421389233
210,18,2.8977351502387547e-05,2.2757467641883722e-05,0.201313113921368
756,18,1.2268596332900396e-05,9.936204436248108e-06,0.19875629431826183
2772,18,9.080542577469628e-06,5.476208336542414e-06,0.1980578532490271
18,19,1.834937081865418e-05,1.1240644343365136e-05,0.23140419647773636
60,19,2.7030605763699378e-05,2.7030605763648634e-05,0.20805504427629765
210,19,2.0626989687238295e-05,1.8731417392705157e-05,0.20122904594987323
756,19,7.575045841119967e-06,6.588573567925044e-06,0.1986472426702544
2772,19,6.327821119708311e-06,4.224352353032564e-06,0.19795863258404078
18,20,0.0001986821858239898,1.523920501003917e-05,0.23124679744551413
60,20,1.9874126996448212e-05,1.98741269965805e-05,0.2078301600788405
210,20,3.4575772918150564e-05,2.9425477347891954e-05,0.20125301804739196
756,20,9.160049051415673e-06,7.886108393133913e-06,0.19861830670265024
2772,20,7.094518805057683e-06,3.907237838313345e-06,0.19793669615111215
