Iteration,Energy,Loss Function
0,3.3009676224694664e-05,4.427579842020571e-05
1,3.3009676224694664e-05,4.4167617551906076e-05
2,3.3180308135785006e-05,4.407146311327316e-05
3,3.3180308135785006e-05,4.402781483142042e-05
4,3.3180308135785006e-05,4.3950805328146743e-05
5,3.3180308135785006e-05,4.3827791897850475e-05
6,3.327328782159394e-05,4.373680878098888e-05
7,3.327328782159394e-05,4.3725680535643794e-05
8,3.327328782159394e-05,4.370757912642071e-05
9,3.327328782159394e-05,4.367853893150428e-05
10,3.327328782159394e-05,4.363343689868765e-05
11,3.23318077783789e-05,4.3574109548478626e-05
12,3.23318077783789e-05,4.352690896927499e-05
13,3.23318077783789e-05,4.3504763183830527e-05
14,3.23318077783789e-05,4.34988413401686e-05
15,3.23318077783789e-05,4.3489157157027467e-05
16,3.23318077783789e-05,4.3472452460074934e-05
17,3.23318077783789e-05,4.344357567470072e-05
18,3.23318077783789e-05,4.339723135073288e-05
19,3.23318077783789e-05,4.335072557312289e-05
20,3.23318077783789e-05,4.3338064613359657e-05
21,3.23318077783789e-05,4.3327911943428514e-05
22,3.23318077783789e-05,4.332193737028012e-05
23,3.23318077783789e-05,4.3311619254015836e-05
24,3.23318077783789e-05,4.329375244708785e-05
25,3.23318077783789e-05,4.326464494817978e-05
26,3.23318077783789e-05,4.322770789150001e-05
27,3.2968858313133804e-05,4.3211489789199273e-05
28,3.4271643459344493e-05,4.320058538743943e-05
29,3.4271643459344493e-05,4.319639058380862e-05
30,3.4271643459344493e-05,4.318916511238828e-05
31,3.520592520740902e-05,4.3176216700044974e-05
32,3.520592520740902e-05,4.315248479175616e-05
33,3.616208794550354e-05,4.310753056084925e-05
34,3.3406593866761206e-05,4.3025128657593675e-05
35,3.3406593866761206e-05,4.298713953917948e-05
36,3.44712843000177e-05,4.2942878696031094e-05
37,3.44712843000177e-05,4.290771407324596e-05
38,3.44712843000177e-05,4.2860614210739465e-05
39,3.44712843000177e-05,4.283497444127689e-05
40,3.44712843000177e-05,4.279840612538023e-05
41,3.44712843000177e-05,4.274306344935802e-05
42,3.7388777725327093e-05,4.2656948622896225e-05
43,3.765423120892805e-05,4.255183006262529e-05
