Iteration,Energy,Loss Function,Bias
0,6.11227817318164e-05,6.244528592490864e-05,3.0202652756757282
1,6.11227817318164e-05,6.093220116534076e-05,2.9832456745114126
2,5.6283406360007346e-05,6.087888696924162e-05,2.9796758307316624
3,5.6283406360007346e-05,5.8314395639506526e-05,2.9771902288477246
4,5.1329143446597234e-05,5.6574778349334676e-05,2.9780712557243114
5,5.1329143446597234e-05,5.62184868906923e-05,2.979297746667017
6,5.1329143446597234e-05,5.588733846518575e-05,2.985575153361934
7,5.1329143446597234e-05,5.539391326765874e-05,2.9985573243841857
8,5.1329143446597234e-05,5.510142475644769e-05,3.0112980362619846
9,5.1329143446597234e-05,5.4950252576895895e-05,3.0160347456524645
10,5.1329143446597234e-05,5.468701500022518e-05,3.018827853743342
11,5.1329143446597234e-05,5.425629338902425e-05,3.018971429175998
12,5.1329143446597234e-05,5.383822615998769e-05,3.014892948728998
13,5.1329143446597234e-05,5.3790503287797456e-05,3.012913378995872
14,5.1329143446597234e-05,5.37835953667645e-05,3.012659593093357
15,5.1329143446597234e-05,5.377191768080111e-05,3.0128578898372735
16,5.1329143446597234e-05,5.375122482972736e-05,3.0137212599143415
17,5.1329143446597234e-05,5.3714331383744536e-05,3.015670626137425
18,5.1329143446597234e-05,5.3650500201799126e-05,3.019618604730497
19,5.1329143446597234e-05,5.355030404726411e-05,3.0274655482159076
20,5.1329143446597234e-05,5.3454997410872183e-05,3.038336766058616
21,5.1329143446597234e-05,5.340045622259172e-05,3.0440633288823324
22,5.1329143446597234e-05,5.332483369842416e-05,3.048545574100465
23,5.1329143446597234e-05,5.326795820068996e-05,3.048053310633519
24,5.1329143446597234e-05,5.3256414146568425e-05,3.0454215373649727
25,5.1329143446597234e-05,5.3252575519236324e-05,3.044290616171068
26,5.1329143446597234e-05,5.3246911235756256e-05,3.043086006458985
27,5.1329143446597234e-05,5.324074006250382e-05,3.042539700582753
28,5.1329143446597234e-05,5.323010245336816e-05,3.042613127500107
29,5.1329143446597234e-05,5.3211165599508406e-05,3.04354620093371
30,5.1329143446597234e-05,5.3177590992348656e-05,3.045971282583363
31,5.1329143446597234e-05,5.3120614856692165e-05,3.051353528423505
32,5.1329143446597234e-05,5.303635355870104e-05,3.063024943611478
33,5.1329143446597234e-05,5.2982153472424367e-05,3.0754409982275153
34,5.1329143446597234e-05,5.296077443420863e-05,3.081007464555379
35,5.1329143446597234e-05,5.294972638265508e-05,3.082014191566457
36,5.1329143446597234e-05,5.294608908212057e-05,3.080874070978135
37,5.1329143446597234e-05,5.294398332400334e-05,3.0800313578328766
38,5.1329143446597234e-05,5.2940365335836823e-05,3.0792991374623115
39,5.1329143446597234e-05,5.293393866374215e-05,3.078850622950274
40,5.1329143446597234e-05,5.2922415217383235e-05,3.078878116470163
41,5.1329143446597234e-05,5.2901910722705834e-05,3.079799297928636
42,5.1329143446597234e-05,5.2866244103211736e-05,3.0824952055318118
43,5.1329143446597234e-05,5.280645308641901e-05,3.0887376139225102
44,5.12044789158522e-05,5.2709789565777295e-05,3.1020031501920027
45,5.12044789158522e-05,5.2558325510869656e-05,3.129375450736229
46,5.12044789158522e-05,5.252729210889704e-05,3.1392721333118856
47,5.12044789158522e-05,5.247490309664445e-05,3.1445278604687146
48,4.9532885859205536e-05,5.2392131116586734e-05,3.1459437054786523
49,4.9532885859205536e-05,5.229707987763927e-05,3.149150449065868
50,4.9532885859205536e-05,5.2202560185593766e-05,3.1465741527360547
51,4.9532885859205536e-05,5.207559354455554e-05,3.1516888064977704
52,4.9532885859205536e-05,5.187906874552139e-05,3.1488438576731808
53,4.9532885859205536e-05,5.157470745154019e-05,3.1534616260967314
54,4.9532885859205536e-05,5.120413746712013e-05,3.1552879119520347
55,4.9532885859205536e-05,5.095682654946642e-05,3.161170491266867
56,4.9532885859205536e-05,5.089331513943014e-05,3.155646719629928
57,4.9532885859205536e-05,5.086224013746574e-05,3.1525252118052447
58,4.9532885859205536e-05,5.085099071753262e-05,3.1499431333087813
