Iteration,Energy,Loss Function,Bias
0,1.9037994935924386e-05,2.2260232291519628e-05,3.908369774389009
1,1.8870993887675313e-05,2.200214389869197e-05,3.906074073906168
2,1.8831302718609836e-05,2.1787793285290325e-05,3.9012698515302113
3,1.8831302718609836e-05,2.1783025013795995e-05,3.900912409812228
4,1.8831302718609836e-05,2.1773911842461156e-05,3.900351484775349
5,1.8831302718609836e-05,2.1757150586420505e-05,3.8993293322119964
6,1.8870993887675313e-05,2.1730027021981207e-05,3.897272978436363
7,1.8870993887675313e-05,2.1710446621786677e-05,3.8941385688311256
8,1.8870993887675313e-05,2.17073067057181e-05,3.8936147827437244
9,1.8820731248107117e-05,2.1701449628175903e-05,3.8929752630599985
10,1.8820731248107117e-05,2.1690793857711e-05,3.8920207299172
11,1.8820731248107117e-05,2.1673119616440583e-05,3.8904364958970974
12,1.8820731248107117e-05,2.1653682749864946e-05,3.8878461137673925
13,1.8820731248107117e-05,2.164778222069898e-05,3.8873782331962285
14,1.8820731248107117e-05,2.1638798911680255e-05,3.8870966055810743
15,1.8820731248107117e-05,2.1629061971246967e-05,3.8869128750787225
16,1.8820731248107117e-05,2.1616024451976798e-05,3.886449800373324
17,1.8998736865885207e-05,2.159416645551002e-05,3.8851615186285593
18,1.8998736865885207e-05,2.1555472336983676e-05,3.8820772947619653
19,1.8190205841252694e-05,2.1477332906258493e-05,3.8752800627040442
20,1.7801698717572862e-05,2.1455242294656873e-05,3.8723690339184516
21,1.779212742322418e-05,2.142123600346834e-05,3.8710589706395435
22,1.779212742322418e-05,2.1378698347749953e-05,3.8712188621373063
23,1.779212742322418e-05,2.1347696593216358e-05,3.8705835931458203
24,1.779212742322418e-05,2.1293467436543524e-05,3.870272585131116
25,1.779212742322418e-05,2.120886863769997e-05,3.870453232380713
26,1.7750912917598502e-05,2.1132461066395892e-05,3.872546612640298
27,1.774268949841472e-05,2.1093865054131123e-05,3.8743140948993555
28,1.7730067973682487e-05,2.1064811943943605e-05,3.876647225478451
29,1.7730067973682487e-05,2.1052138979005527e-05,3.877703500767963
30,1.7730067973682487e-05,2.103684608983304e-05,3.8786851200768755
31,1.7730067973682487e-05,2.1013550135995424e-05,3.879571560394503
32,1.7731469731881972e-05,2.098033904875848e-05,3.8800860986938215
33,1.7731469731881972e-05,2.0948271783840462e-05,3.8797740277251345
34,1.8099973953588027e-05,2.092822065673196e-05,3.8789107992494776
35,1.8099973953588027e-05,2.091595906456887e-05,3.8781278995229305
36,1.8099973953588027e-05,2.089943667004586e-05,3.8772958213547457
37,1.7866902628885645e-05,2.087224879795227e-05,3.8764915391971404
38,1.7772841066042053e-05,2.0830142889110295e-05,3.8758946354380313
39,1.7869533037874366e-05,2.0789472628581962e-05,3.8762150140023706
40,1.7500618316437078e-05,2.076730387796614e-05,3.8773411395026356
41,1.7294206610782276e-05,2.0747101279683204e-05,3.8789169421419594
42,1.7382306688604407e-05,2.07316923970521e-05,3.8802431262835833
43,1.7382306688604407e-05,2.0706279355033028e-05,3.881541791739547
44,1.7370828943473686e-05,2.0665119023634064e-05,3.8825858989457482
45,1.7225077801907015e-05,2.0607981443656797e-05,3.8827215073904053
46,1.7225077801907015e-05,2.0572716377994203e-05,3.881610110039778
47,1.7177389783346738e-05,2.0548780413227125e-05,3.8798933196367513
48,1.721803927764699e-05,2.0531222423397605e-05,3.8784012225466653
49,1.721803927764699e-05,2.0511430409002398e-05,3.8771048417974425
50,1.721803927764699e-05,2.0487205846494464e-05,3.8764758604245806
51,1.721803927764699e-05,2.0462018282580048e-05,3.8770879003066265
52,1.721803927764699e-05,2.04405622936284e-05,3.8789087841859873
53,1.721803927764699e-05,2.04274530487615e-05,3.8805441897707054
54,1.7316458457416377e-05,2.0418192768168673e-05,3.881304667148178
55,1.7316458457416377e-05,2.0406339662745373e-05,3.8815923635190264
56,1.721803927764699e-05,2.038763597968615e-05,3.8816169494836394
57,1.7166041378389005e-05,2.0359796652418197e-05,3.8814012967055844
58,1.7166041378389005e-05,2.033444376754022e-05,3.8812223088568123
59,1.7183135730077915e-05,2.031998447563164e-05,3.8812738713603063
60,1.7244224809353096e-05,2.0311189739643657e-05,3.8814584390450504
61,1.7294714142874266e-05,2.0302165765646475e-05,3.881654111866174
62,1.7294714142874266e-05,2.0287640294613565e-05,3.8817895202612585
63,1.7294714142874266e-05,2.0265988068690776e-05,3.881837488807469
64,1.7294714142874266e-05,2.0247673896199885e-05,3.8815426529547787
65,1.7294714142874266e-05,2.0238480159320766e-05,3.881241531685539
66,1.7294714142874266e-05,2.0232283779162575e-05,3.8810646481857294
67,1.7294714142874266e-05,2.0224233811764886e-05,3.8810420024754904
68,1.7294714142874266e-05,2.0210740599366553e-05,3.8811334542788196
69,1.7073744506253465e-05,2.018896866008157e-05,3.8814103056278264
70,1.697174136963315e-05,2.016140068068309e-05,3.8819780668422315
71,1.697174136963315e-05,2.0150348934273736e-05,3.882315356097212
72,1.697174136963315e-05,2.0144972559652498e-05,3.882623348264217
73,1.697174136963315e-05,2.014208565732144e-05,3.882750947777294
74,1.697174136963315e-05,2.013701243879592e-05,3.882909193073903
75,1.699887346682215e-05,2.012805414731985e-05,3.883119045992482
76,1.699887346682215e-05,2.011289691461164e-05,3.8834361842880325
77,1.70675052469221e-05,2.009097444537339e-05,3.883878563504059
78,1.6958586845961128e-05,2.0077354629858964e-05,3.883997259213518
79,1.6958586845961128e-05,2.0069167279430596e-05,3.883812561882715
80,1.6958586845961128e-05,2.0062340850421498e-05,3.8835005632222632
81,1.6958586845961128e-05,2.005661099688924e-05,3.883221547740315
82,1.70675052469221e-05,2.0047328634537172e-05,3.882874516789246
83,1.70675052469221e-05,2.003312545545573e-05,3.8824089376010265
84,1.70675052469221e-05,2.001896761217147e-05,3.881980595985632
85,1.70675052469221e-05,2.0012084933066528e-05,3.8818799186887154
86,1.70675052469221e-05,2.000805484611506e-05,3.881899433771373
87,1.7156431107012156e-05,2.000383255320875e-05,3.881843385147989
88,1.713168579126681e-05,1.9996847765428495e-05,3.8816624830361603
89,1.7072378912657248e-05,1.99855251513477e-05,3.881201677439312
90,1.7072378912657248e-05,1.9969625967534132e-05,3.880278083560638
91,1.7432344079261246e-05,1.995932738938566e-05,3.879490475004273
92,1.7432344079261246e-05,1.995342393506238e-05,3.879141782188391
93,1.7581992968279503e-05,1.995080010617958e-05,3.879061201696295
94,1.7581992968279503e-05,1.9947211117382688e-05,3.8790580883816106
95,1.7581992968279503e-05,1.994118159058198e-05,3.878904387495677
96,1.7581992968279503e-05,1.993102973624942e-05,3.8785806331897885
97,1.7432344079261246e-05,1.9915559375087057e-05,3.8777466953405555
98,1.7432344079261246e-05,1.990386871385998e-05,3.8766587552142133
99,1.7432344079261246e-05,1.9899865973375684e-05,3.8762849430008712
100,1.7432344079261246e-05,1.9895545575805706e-05,3.8761101647251914
101,1.7432344079261246e-05,1.9890831090379568e-05,3.8759241973632075
102,1.728783905300752e-05,1.988282434594499e-05,3.875660933237614
103,1.728783905300752e-05,1.9869541061102e-05,3.875149166286389
104,1.7782439386770268e-05,1.9850581185293604e-05,3.8744200523382233
105,1.7782439386770268e-05,1.983798919991781e-05,3.8740403166903503
106,1.7782439386770268e-05,1.983078717007769e-05,3.8737133255193563
107,1.798918204186961e-05,1.9827754916693626e-05,3.8737322973502284
108,1.798918204186961e-05,1.9825193222310016e-05,3.8737926042315802
109,1.798918204186961e-05,1.9820778970884937e-05,3.874003526569053
110,1.798918204186961e-05,1.9812911939124614e-05,3.874200769487939
111,1.798918204186961e-05,1.9798522773519748e-05,3.8746462021022996
112,1.639404596195414e-05,1.9729200020192192e-05,3.8762384012345716
113,1.639404596195414e-05,1.971938417843598e-05,3.8770254556247865
114,1.639404596195414e-05,1.9703879080614347e-05,3.8781659180957666
115,1.639404596195414e-05,1.9678792502285486e-05,3.8791588926433795
116,1.6525188481315155e-05,1.9642071800848344e-05,3.880046891598216
117,1.6676480900187525e-05,1.9604641868697957e-05,3.8803221428575805
118,1.65206258368194e-05,1.9558868689644633e-05,3.8801587787259573
119,1.65206258368194e-05,1.951860172475847e-05,3.8804066203907785
120,1.65206258368194e-05,1.9486670078301144e-05,3.8808119891960366
121,1.6368279764893404e-05,1.9460734338523586e-05,3.8819915067635566
122,1.6368279764893404e-05,1.944603132268945e-05,3.8829064309884296
123,1.6368279764893404e-05,1.9439234839491364e-05,3.8834856180957367
124,1.6368279764893404e-05,1.9435862781535085e-05,3.8837264602553487
125,1.6368279764893404e-05,1.9431859409504218e-05,3.883942460219916
126,1.6368279764893404e-05,1.9425008701079514e-05,3.8842845443205243
127,1.655736418238513e-05,1.9413405350859505e-05,3.8848492394753045
128,1.655736418238513e-05,1.939591060868526e-05,3.885845563884602
129,1.655736418238513e-05,1.9382768287492204e-05,3.8868408029309633
130,1.655736418238513e-05,1.93771452757724e-05,3.887181775312863
131,1.655736418238513e-05,1.9373801703298863e-05,3.887281427529263
132,1.6455781415907943e-05,1.9371744639179387e-05,3.8873522341938584
133,1.6455781415907943e-05,1.9368286502576083e-05,3.8875704323464464
134,1.6455781415907943e-05,1.9362441529294756e-05,3.8880628859424253
135,1.620663004224413e-05,1.9353232940072307e-05,3.8890526003565946
136,1.620663004224413e-05,1.9343530377488013e-05,3.890543357414016
137,1.620663004224413e-05,1.9338823629745738e-05,3.8911348643584405
138,1.620663004224413e-05,1.933529759727883e-05,3.89145011979373
139,1.620663004224413e-05,1.933345515821849e-05,3.891547801366939
140,1.620663004224413e-05,1.9330283756914178e-05,3.891758417469741
141,1.620663004224413e-05,1.9324797544535835e-05,3.8922102127879525
142,1.6340146955931554e-05,1.931584042376718e-05,3.8931139409518414
143,1.6356707155230668e-05,1.930439508389445e-05,3.894823003854143
144,1.6356707155230668e-05,1.9299583144632645e-05,3.8954043827513547
145,1.643424177995265e-05,1.929609907238192e-05,3.895797108184937
146,1.643424177995265e-05,1.9294607167847116e-05,3.8959677718659727
147,1.643424177995265e-05,1.9292154773391356e-05,3.8962634533919327
148,1.643424177995265e-05,1.9288009062897008e-05,3.8967953830836564
149,1.643424177995265e-05,1.928114654715603e-05,3.897748979411809
150,1.643424177995265e-05,1.927110237289855e-05,3.8994322791144462
151,1.643424177995265e-05,1.92639401441811e-05,3.9007958349705274
152,1.643424177995265e-05,1.926058794279042e-05,3.90118623816364
153,1.643424177995265e-05,1.9259132950147273e-05,3.9011183713163438
154,1.643424177995265e-05,1.9257756426166786e-05,3.901045995742482
155,1.643424177995265e-05,1.925536490772437e-05,3.901106149108855
156,1.643424177995265e-05,1.9251155700327705e-05,3.9014431501470757
157,1.643424177995265e-05,1.9244040517648546e-05,3.902332719846292
158,1.643424177995265e-05,1.923382700525975e-05,3.9043997372683705
159,1.6377626817492248e-05,1.922795775525263e-05,3.9063342159742995
160,1.6377626817492248e-05,1.9225073814005194e-05,3.907312107684286
161,1.6377626817492248e-05,1.922320534515401e-05,3.9077357890534485
162,1.6377626817492248e-05,1.9221425979470432e-05,3.9079570597644926
163,1.6377626817492248e-05,1.921838646892012e-05,3.9083245959991406
164,1.6377626817492248e-05,1.9213126405661333e-05,3.9090436986321544
165,1.6112536448612322e-05,1.920442381637663e-05,3.91044619980292
166,1.606025898685204e-05,1.919246721705143e-05,3.913142609417999
167,1.606025898685204e-05,1.9186207671317177e-05,3.914669764711022
168,1.606025898685204e-05,1.9182435437368102e-05,3.9152901154994484
169,1.5957011226832374e-05,1.918048469888348e-05,3.915434953157845
170,1.5957011226832374e-05,1.917753381859985e-05,3.9157015638605714
171,1.5957011226832374e-05,1.9172376519371778e-05,3.916321324350442
172,1.5957011226832374e-05,1.9163235933818465e-05,3.9175229026890594
173,1.5957011226832374e-05,1.9148460969745726e-05,3.919516100374833
174,1.5957011226832374e-05,1.9131974195977943e-05,3.9211947014610566
175,1.5957011226832374e-05,1.9123394874815205e-05,3.920306187428917
176,1.5957011226832374e-05,1.9117241189804423e-05,3.9213876172752467
177,1.5957011226832374e-05,1.9116306508710236e-05,3.9207868292858485
178,1.5957011226832374e-05,1.911487031154177e-05,3.920619369882595
179,1.5957011226832374e-05,1.911219432864092e-05,3.9205886207848564
180,1.5957011226832374e-05,1.9107287167048823e-05,3.9207489182935555
181,1.5957011226832374e-05,1.9098865333158128e-05,3.921338113661751
182,1.5948522636812707e-05,1.90875761531485e-05,3.923022727629388
183,1.5948522636812707e-05,1.9083778120892217e-05,3.9242582523633955
184,1.5948522636812707e-05,1.9081724851671472e-05,3.9251024947992033
185,1.5948522636812707e-05,1.9080497729680872e-05,3.92558510541556
186,1.5948522636812707e-05,1.9079340035708115e-05,3.9259034191980198
187,1.5948522636812707e-05,1.9077349712484222e-05,3.92633073060847
188,1.5948522636812707e-05,1.9073846973017578e-05,3.927012113731645
189,1.5948522636812707e-05,1.906778321244593e-05,3.92818885936709
190,1.5948522636812707e-05,1.905793166127722e-05,3.930330014504148
191,1.596966785726077e-05,1.904362077018917e-05,3.934421908847751
192,1.5616161259181892e-05,1.9030560669813456e-05,3.939725175320132
193,1.5616161259181892e-05,1.9023468266486985e-05,3.9412953894613976
194,1.5616161259181892e-05,1.9012485319611562e-05,3.940036423019685
195,1.5616161259181892e-05,1.8996525745894945e-05,3.940061639325799
196,1.5616161259181892e-05,1.8972661272817473e-05,3.93951785034809
197,1.5616161259181892e-05,1.8935236940855832e-05,3.9401484865528564
198,1.5616161259181892e-05,1.888911537894021e-05,3.9392303540122757
199,1.5616161259181892e-05,1.8873810711000743e-05,3.941869782500163
200,1.5616161259181892e-05,1.8867772070610712e-05,3.941104713277384
201,1.5616161259181892e-05,1.8866096377448535e-05,3.9414940263715272
202,1.5616161259181892e-05,1.8863277859248548e-05,3.941984982009392
203,1.5616161259181892e-05,1.8858479285849373e-05,3.9425241327124807
204,1.5616161259181892e-05,1.8850503962973892e-05,3.9431060412522974
205,1.5616161259181892e-05,1.8838568308043537e-05,3.943609346776166
