Iteration,Energy,Loss Function,Bias
0,0.14418921698030482,0.14721373258564607,0.0
1,0.11655042109910106,0.11900423891108837,0.06273651511960102
2,0.09600765305935656,0.0948564767931395,0.07529209812037377
3,0.08802794758837887,0.08885801519006901,0.09073521705255586
4,0.07753712937095111,0.07781505381647064,0.0972354442217593
5,0.06768104864382722,0.06762049358012803,0.10952733552487462
6,0.05458121015389387,0.05636033168860748,0.125980299014568
7,0.043603030177670705,0.04517591185781468,0.14930966751334077
8,0.037935038110724704,0.038896114607231094,0.17791020455649595
9,0.029152246733267405,0.031188469479084192,0.19907697324646684
10,0.02645703785115268,0.03001317432579468,0.23623171682726796
11,0.025218730948569416,0.028004912098845626,0.24386398804750864
12,0.022891022386364895,0.02467320639991786,0.25732587323883593
13,0.019762724261636038,0.021128900168179445,0.28583524895742196
14,0.01583515696140028,0.01716658069325691,0.32293137436199754
15,0.010904237351477315,0.01292980623876859,0.36871347366968027
16,0.012425663446663626,0.011970919499053857,0.43233776703495175
17,0.007977588877006739,0.00814277114520057,0.5108014683482343
18,0.005946748131021653,0.00618042413537645,0.5932473509436604
19,0.003887561133762143,0.004302957801099205,0.6423962878181034
20,0.0025752432111243646,0.0028028427090107107,0.7038086169131601
21,0.0016360875956761133,0.0019336497899719498,0.7657497119192489
22,0.0007696050133805172,0.0010801712430849916,0.8187071859153394
23,0.00046789958383401485,0.0006354306520983457,0.9018398350264121
24,0.0003323114222712952,0.00038183147222490876,0.9686389358245379
25,0.0002996779225321493,0.0003152773813222908,1.2378451102409946
